Date,USD/USD,USD/EUR,USD/INR,USD/GBP,USD/CNY
05 Oct 2021,1,1.1602,0.0134,1.3622,0.1551
04 Oct 2021,1,1.1636,0.0135,1.3605,0.1551
03 Oct 2021,1,1.16,0.0135,1.3543,0.1551
02 Oct 2021,1,1.16,0.0135,1.3543,0.1551
01 Oct 2021,1,1.16,0.0135,1.3543,0.1551
30 Sep 2021,1,1.1579,0.0135,1.3456,0.1547
29 Sep 2021,1,1.1654,0.0135,1.3482,0.1547
28 Sep 2021,1,1.1678,0.0135,1.3587,0.1548
27 Sep 2021,1,1.1698,0.0135,1.3695,0.1547
26 Sep 2021,1,1.1719,0.0136,1.3674,0.1546
25 Sep 2021,1,1.1719,0.0136,1.3674,0.1546
24 Sep 2021,1,1.1719,0.0136,1.3674,0.1546
23 Sep 2021,1,1.1715,0.0136,1.3703,0.1549
22 Sep 2021,1,1.1729,0.0135,1.3638,0.1546
21 Sep 2021,1,1.1738,0.0136,1.3672,0.1546
20 Sep 2021,1,1.1711,0.0136,1.3664,0.1546
19 Sep 2021,1,1.178,0.0136,1.38,0.1549
18 Sep 2021,1,1.178,0.0136,1.38,0.1549
17 Sep 2021,1,1.178,0.0136,1.38,0.1549
16 Sep 2021,1,1.1763,0.0136,1.3835,0.1551
15 Sep 2021,1,1.1824,0.0136,1.3828,0.1554
14 Sep 2021,1,1.1814,0.0136,1.3856,0.1551
13 Sep 2021,1,1.178,0.0136,1.3839,0.1549
12 Sep 2021,1,1.1841,0.0136,1.3888,0.1553
11 Sep 2021,1,1.1841,0.0136,1.3888,0.1553
10 Sep 2021,1,1.1841,0.0136,1.3888,0.1553
09 Sep 2021,1,1.1838,0.0136,1.3837,0.1549
08 Sep 2021,1,1.1827,0.0136,1.3773,0.1549
07 Sep 2021,1,1.186,0.0136,1.3772,0.1547
06 Sep 2021,1,1.1864,0.0137,1.3842,0.1549
05 Sep 2021,1,1.1872,0.0137,1.383,0.1551
04 Sep 2021,1,1.1872,0.0137,1.383,0.1551
03 Sep 2021,1,1.1872,0.0137,1.383,0.1551
02 Sep 2021,1,1.1846,0.0137,1.3788,0.1548
01 Sep 2021,1,1.1817,0.0137,1.3763,0.1546
31 Aug 2021,1,1.1834,0.0137,1.378,0.1548
30 Aug 2021,1,1.1801,0.0136,1.3762,0.1546
29 Aug 2021,1,1.1761,0.0136,1.3723,0.1544
28 Aug 2021,1,1.1761,0.0136,1.3723,0.1544
27 Aug 2021,1,1.1761,0.0136,1.3723,0.1544
26 Aug 2021,1,1.1767,0.0135,1.3728,0.1543
25 Aug 2021,1,1.1736,0.0135,1.3712,0.1544
24 Aug 2021,1,1.174,0.0135,1.3718,0.1544
23 Aug 2021,1,1.1718,0.0135,1.3684,0.1542
22 Aug 2021,1,1.1671,0.0134,1.361,0.1539
21 Aug 2021,1,1.1671,0.0134,1.361,0.1539
20 Aug 2021,1,1.1671,0.0134,1.361,0.1539
19 Aug 2021,1,1.1696,0.0134,1.3676,0.1541
18 Aug 2021,1,1.1723,0.0135,1.3762,0.1543
17 Aug 2021,1,1.1767,0.0135,1.3791,0.1543
16 Aug 2021,1,1.1772,0.0135,1.387,0.1544
15 Aug 2021,1,1.1765,0.0135,1.3826,0.1543
14 Aug 2021,1,1.1765,0.0135,1.3826,0.1543
13 Aug 2021,1,1.1765,0.0135,1.3826,0.1543
12 Aug 2021,1,1.1739,0.0135,1.3852,0.1544
11 Aug 2021,1,1.1718,0.0134,1.3835,0.1542
10 Aug 2021,1,1.1722,0.0134,1.3861,0.1543
09 Aug 2021,1,1.1761,0.0135,1.3878,0.1544
08 Aug 2021,1,1.1807,0.0135,1.3917,0.1546
07 Aug 2021,1,1.1807,0.0135,1.3917,0.1546
06 Aug 2021,1,1.1807,0.0135,1.3917,0.1546
05 Aug 2021,1,1.185,0.0135,1.3931,0.1548
04 Aug 2021,1,1.1861,0.0135,1.3929,0.1548
03 Aug 2021,1,1.1885,0.0135,1.3924,0.1547
02 Aug 2021,1,1.1886,0.0134,1.3891,0.1548
01 Aug 2021,1,1.1891,0.0135,1.3966,0.1548
31 Jul 2021,1,1.1891,0.0135,1.3966,0.1548
30 Jul 2021,1,1.1891,0.0135,1.3966,0.1548
29 Jul 2021,1,1.1873,0.0135,1.3955,0.1548
28 Jul 2021,1,1.1807,0.0134,1.3875,0.1539
27 Jul 2021,1,1.181,0.0134,1.3812,0.1538
26 Jul 2021,1,1.1787,0.0134,1.3791,0.1542
25 Jul 2021,1,1.1767,0.0134,1.3756,0.1544
24 Jul 2021,1,1.1767,0.0134,1.3756,0.1544
23 Jul 2021,1,1.1767,0.0134,1.3756,0.1544
22 Jul 2021,1,1.1775,0.0134,1.3762,0.1546
21 Jul 2021,1,1.1772,0.0134,1.3631,0.1545
20 Jul 2021,1,1.1775,0.0134,1.3606,0.1543
19 Jul 2021,1,1.1766,0.0133,1.3695,0.1541
18 Jul 2021,1,1.1802,0.0134,1.3836,0.1545
17 Jul 2021,1,1.1802,0.0134,1.3836,0.1545
16 Jul 2021,1,1.1802,0.0134,1.3836,0.1545
15 Jul 2021,1,1.1809,0.0134,1.3862,0.1548
14 Jul 2021,1,1.1812,0.0134,1.3871,0.1549
13 Jul 2021,1,1.1844,0.0134,1.385,0.1546
12 Jul 2021,1,1.1852,0.0134,1.3851,0.1544
11 Jul 2021,1,1.1858,0.0134,1.3827,0.1543
10 Jul 2021,1,1.1858,0.0134,1.3827,0.1543
09 Jul 2021,1,1.1858,0.0134,1.3827,0.1543
08 Jul 2021,1,1.1838,0.0134,1.3744,0.1541
07 Jul 2021,1,1.1831,0.0134,1.3837,0.1547
06 Jul 2021,1,1.1838,0.0134,1.3854,0.1547
05 Jul 2021,1,1.1866,0.0135,1.3852,0.1548
04 Jul 2021,1,1.1823,0.0134,1.3747,0.1544
03 Jul 2021,1,1.1823,0.0134,1.3747,0.1544
02 Jul 2021,1,1.1823,0.0134,1.3747,0.1544
01 Jul 2021,1,1.1884,0.0134,1.3813,0.1547
30 Jun 2021,1,1.1884,0.0135,1.385,0.1549
29 Jun 2021,1,1.1888,0.0135,1.3832,0.1548
28 Jun 2021,1,1.191,0.0135,1.3896,0.1548
27 Jun 2021,1,1.195,0.0135,1.3903,0.1549
26 Jun 2021,1,1.195,0.0135,1.3903,0.1549
25 Jun 2021,1,1.195,0.0135,1.3903,0.1549
24 Jun 2021,1,1.1936,0.0135,1.3898,0.1546
